時間,種目,kg
2026-09-01,B,100
2026-09-01,D,160
2026-09-01,S,140
2027-03-01,B,110
2027-03-01,D,180
2027-03-01,S,160
2027-09-01,B,120
2027-09-01,D,200
2027-09-01,S,180
